“256”,"“512""","“1024""","“2048""","“4096""","“8192""","“16348""","""524288""","""1048576""","2097152""","""4194304""","""8388608""","""16777216"""
0,0,0,0,-1,0,0,0,0,0,0,0,-1
0,-1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,-1,0,0,0,0,0,1,1,1,2,4,6
-1,0,0,0,0,0,0,1,1,1,2,7,10
0,0,0,0,0,0,0,1,1,1,3,9,12
0,0,0,0,0,0,0,1,1,0,3,9,11
0,0,0,0,0,0,0,1,1,1,5,10,12
0,0,0,0,6,6,7,6,7,7,6,12,14
,,0,0,9,9,10,10,10,10,11,15,17
,,0,0,0,9,10,10,12,14,10,11,15
,,,0,0,0,9,9,14,16,8,11,13
,,,,0,0,0,10,13,15,10,11,17
,,,,,0,0,1,11,15,11,7,17
,,,,,,0,0,1,10,7,7,11
,,,,,,,0,0,1,8,7,7
,,,,,,,,0,0,4,8,7
,,,,,,,,,0,,3,8
,,,,,,,,,,,0,
4194304,,,,,,,,,,,0,
8388608,,,,,,,,,,,,
,,,,,,,,,,,,
